epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.744,2.21503,2.26238,1.00921,0.79938,0.72164,0.75475,0.29426,1.99517,1.21348,0.95035,0.00333201,0.00333201,0.00333201
2,504.053,2.09642,1.42047,0.97871,0.84528,0.69619,0.75622,0.31304,2.033,1.20879,0.95515,0.00644539,0.00644539,0.00644539
3,753.65,2.0914,1.34956,0.97718,0.84606,0.66892,0.73931,0.30352,2.07475,1.27416,0.96778,0.00933876,0.00933876,0.00933876
4,1001.21,2.04958,1.29324,0.9705,0.87478,0.77346,0.80765,0.34379,1.93518,1.08032,0.94131,0.00901,0.00901,0.00901
5,1248.34,1.98808,1.20588,0.95699,0.89709,0.79237,0.84484,0.37416,1.85183,1.0245,0.9321,0.00868,0.00868,0.00868
6,1499.1,1.94166,1.16024,0.95145,0.9108,0.81785,0.86991,0.39598,1.81643,0.98779,0.92258,0.00835,0.00835,0.00835
7,1750.79,1.90739,1.11985,0.94412,0.895,0.82496,0.8726,0.39991,1.76111,0.95227,0.91706,0.00802,0.00802,0.00802
8,2007.27,1.88367,1.09058,0.93875,0.91282,0.8296,0.88177,0.41199,1.76772,0.93917,0.91676,0.00769,0.00769,0.00769
9,2255.15,1.86031,1.07032,0.93415,0.91242,0.84096,0.89315,0.43756,1.6928,0.88413,0.90665,0.00736,0.00736,0.00736
10,2527.2,1.83108,1.0437,0.92976,0.90785,0.83561,0.89284,0.43876,1.69286,0.89622,0.90548,0.00703,0.00703,0.00703
11,2778.5,1.80295,1.02179,0.92414,0.91248,0.85135,0.90592,0.45658,1.64642,0.8616,0.89952,0.0067,0.0067,0.0067
12,3027.25,1.77731,1.00526,0.92153,0.91224,0.85053,0.90353,0.46308,1.63448,0.85451,0.8973,0.00637,0.00637,0.00637
13,3272.57,1.75609,0.98631,0.91766,0.92012,0.86208,0.91339,0.47833,1.60374,0.8219,0.89403,0.00604,0.00604,0.00604
14,4136.91,1.72831,0.96625,0.91223,0.92104,0.86122,0.91601,0.48744,1.57436,0.81167,0.88975,0.00571,0.00571,0.00571
15,4373.85,1.70851,0.94823,0.90978,0.9214,0.86582,0.92097,0.49388,1.54918,0.79846,0.88608,0.00538,0.00538,0.00538
16,4647.91,1.69235,0.93494,0.90706,0.92364,0.87458,0.92522,0.50624,1.52748,0.77949,0.88328,0.00505,0.00505,0.00505
17,4939.03,1.66573,0.91271,0.90478,0.9253,0.87492,0.92731,0.51121,1.50581,0.7701,0.8807,0.00472,0.00472,0.00472
18,5232.59,1.63603,0.89199,0.90019,0.92237,0.88231,0.93118,0.51927,1.4897,0.75676,0.87864,0.00439,0.00439,0.00439
19,5528.3,1.6191,0.88259,0.89817,0.92361,0.883,0.93076,0.52467,1.46999,0.74516,0.8764,0.00406,0.00406,0.00406
20,5831.4,1.60042,0.86505,0.89372,0.92705,0.89033,0.93421,0.52973,1.45907,0.7352,0.87509,0.00373,0.00373,0.00373
21,6134.16,1.50506,0.78248,0.90054,0.93156,0.8927,0.93655,0.53784,1.44094,0.72401,0.87317,0.0034,0.0034,0.0034
22,6423.1,1.45802,0.74747,0.89407,0.93285,0.89395,0.93814,0.54558,1.42064,0.71109,0.87109,0.00307,0.00307,0.00307
23,6709.35,1.42097,0.72889,0.88634,0.93375,0.89399,0.93974,0.55102,1.40396,0.70187,0.86939,0.00274,0.00274,0.00274
24,6995.05,1.38704,0.70528,0.88235,0.93457,0.89382,0.94103,0.55633,1.38831,0.69245,0.86748,0.00241,0.00241,0.00241
25,7292.11,1.35233,0.68562,0.8769,0.9366,0.89536,0.94252,0.56114,1.37369,0.68384,0.86571,0.00208,0.00208,0.00208
26,7535.09,1.3202,0.66426,0.87311,0.93775,0.89678,0.94389,0.5652,1.36076,0.67688,0.86415,0.00175,0.00175,0.00175
27,7779.76,1.28635,0.64843,0.86856,0.94056,0.89809,0.94537,0.56906,1.34943,0.67038,0.86274,0.00142,0.00142,0.00142
28,8017.61,1.25926,0.62942,0.86403,0.94271,0.90083,0.94645,0.57271,1.3391,0.66437,0.86148,0.00109,0.00109,0.00109
29,8675.91,1.22553,0.60976,0.85924,0.94476,0.90038,0.94708,0.57605,1.33004,0.65908,0.86035,0.00076,0.00076,0.00076
30,8916.74,1.2,0.5959,0.85723,0.94551,0.90084,0.94706,0.57894,1.32081,0.65416,0.85917,0.00043,0.00043,0.00043
